Date/Time (GMT)	Latitude	Longitude	Flag	Hs (Hm0)(m)	Hmax (m)	Tp (s)	Tz (Tm)(s)	Dirp (degrees)	Spread (deg)	SST (deg C)
  03-Jan-2016 20:30:00	50.73427	-0.49466	0	1.600	2.470	6.7	5.3	179	 33	10.9
  03-Jan-2016 21:00:00	50.73426	-0.49460	0	1.530	2.260	6.3	5.0	183	 28	10.9
  03-Jan-2016 21:30:00	50.73427	-0.49460	0	1.530	2.690	6.3	5.0	179	 26	10.9
  03-Jan-2016 22:00:00	50.73426	-0.49464	0	1.560	2.460	5.9	4.9	183	 27	10.9
  03-Jan-2016 22:30:00	50.73433	-0.49456	0	1.460	2.480	5.9	4.7	191	 29	10.9
  03-Jan-2016 23:00:00	50.73463	-0.49417	0	1.450	2.210	5.9	4.6	193	 31	10.9
  03-Jan-2016 23:30:00	50.73454	-0.49338	5	1.440	2.150	11.8	4.4	217	 14	10.9
  04-Jan-2016 00:00:00	50.73449	-0.49333	5	1.490	2.340	11.8	4.3	225	 21	10.9
  04-Jan-2016 00:30:00	50.73446	-0.49327	5	1.460	1.970	11.8	4.6	217	 18	10.9
  04-Jan-2016 01:00:00	50.73447	-0.49329	5	1.420	1.960	11.1	4.6	217	 20	10.9
  04-Jan-2016 01:30:00	50.73444	-0.49329	5	1.360	2.060	11.1	4.5	214	 19	10.9
  04-Jan-2016 02:00:00	50.73448	-0.49329	5	1.520	2.190	11.1	4.8	212	 15	10.9
  04-Jan-2016 02:30:00	50.73448	-0.49327	5	1.640	2.590	10.5	4.8	217	 15	10.9
  04-Jan-2016 03:00:00	50.73449	-0.49333	5	1.530	2.550	11.1	4.5	219	 18	10.9
  04-Jan-2016 03:30:00	50.73450	-0.49331	5	1.740	2.910	10.5	4.9	218	 16	10.9
  04-Jan-2016 04:00:00	50.73452	-0.49335	5	1.650	2.520	11.1	4.8	224	 16	10.9
  04-Jan-2016 04:30:00	50.73452	-0.49333	5	1.930	2.740	11.8	5.2	222	 18	10.9
  04-Jan-2016 05:00:00	50.73457	-0.49346	5	2.050	2.880	11.1	5.5	219	 14	10.9
  04-Jan-2016 05:30:00	50.73456	-0.49340	0	2.060	3.220	10.5	5.5	221	 13	10.9
  04-Jan-2016 06:00:00	50.73458	-0.49340	5	2.160	3.450	11.8	5.5	214	 11	10.9
  04-Jan-2016 06:30:00	50.73466	-0.49351	5	2.180	3.030	16.7	5.7	214	 17	10.9
  04-Jan-2016 07:00:00	50.73472	-0.49376	5	2.080	2.920	18.2	5.9	214	 15	10.9
  04-Jan-2016 07:30:00	50.73458	-0.49445	0	2.080	2.870	7.7	5.9	217	 12	10.9
  04-Jan-2016 08:00:00	50.73441	-0.49458	5	2.100	3.170	16.7	5.9	217	 16	10.8
  04-Jan-2016 08:30:00	9999.00000	9999.00000	9	9999.000	9999.000	9999.0	9999.0	9999	9999	9999.0
  04-Jan-2016 09:00:00	50.73442	-0.49445	5	2.050	3.010	18.2	5.6	224	 14	10.8
  04-Jan-2016 09:30:00	50.73434	-0.49460	5	2.020	2.630	18.2	5.6	218	 14	10.8
  04-Jan-2016 10:00:00	50.73429	-0.49460	5	2.080	2.750	18.2	5.6	217	 13	10.8
  04-Jan-2016 10:30:00	50.73426	-0.49460	0	1.970	2.810	6.7	5.3	224	 12	10.8
  04-Jan-2016 11:00:00	50.73441	-0.49449	0	1.880	2.470	6.7	5.2	218	 13	10.8
  04-Jan-2016 11:30:00	50.73466	-0.49408	0	1.890	2.750	6.3	5.1	210	 16	10.8
  04-Jan-2016 12:00:00	50.73444	-0.49333	5	1.870	2.790	15.4	5.2	217	 18	10.8
  04-Jan-2016 12:30:00	50.73449	-0.49331	5	1.860	2.680	12.5	4.9	218	 18	10.8
  04-Jan-2016 13:00:00	50.73443	-0.49327	5	2.040	2.900	15.4	5.1	212	 21	10.8
  04-Jan-2016 13:30:00	50.73446	-0.49325	0	2.100	3.330	10.0	5.1	215	 16	10.8
  04-Jan-2016 14:00:00	50.73446	-0.49327	5	2.100	3.340	14.3	5.1	207	 22	10.8
  04-Jan-2016 14:30:00	50.73443	-0.49327	5	2.210	2.950	11.1	5.3	215	 18	10.8
  04-Jan-2016 15:00:00	50.73438	-0.49325	0	2.160	3.400	10.0	5.5	215	 17	10.8
  04-Jan-2016 15:30:00	50.73448	-0.49327	5	2.210	3.070	15.4	5.6	205	 27	10.9
  04-Jan-2016 16:00:00	50.73450	-0.49329	0	2.320	3.500	10.0	5.7	217	 15	10.8
  04-Jan-2016 16:30:00	50.73449	-0.49329	0	2.380	3.160	11.1	5.7	218	 14	10.8
  04-Jan-2016 17:00:00	50.73455	-0.49333	0	2.150	3.300	10.0	5.6	217	 14	10.8
  04-Jan-2016 17:30:00	50.73455	-0.49335	5	2.150	3.590	16.7	5.7	211	 28	10.8
  04-Jan-2016 18:00:00	50.73460	-0.49340	5	2.260	3.370	15.4	6.0	214	 20	10.8
  04-Jan-2016 18:30:00	50.73466	-0.49351	0	2.140	2.930	8.3	5.8	214	 11	10.8
  04-Jan-2016 19:00:00	50.73472	-0.49359	0	2.150	3.750	11.1	5.8	215	 15	10.8
  04-Jan-2016 19:30:00	50.73477	-0.49417	5	2.040	3.230	16.7	5.6	222	 21	10.8
